GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
1400000US06059063008,06059063008,"Census Tract 630.08, Orange County, California",90481,21219
1400000US06059063009,06059063009,"Census Tract 630.09, Orange County, California",135625,20907
1400000US06059063010,06059063010,"Census Tract 630.10, Orange County, California",102681,21557
1400000US06059063101,06059063101,"Census Tract 631.01, Orange County, California",83438,21994
1400000US06059063102,06059063102,"Census Tract 631.02, Orange County, California",77097,26434
1400000US06059063103,06059063103,"Census Tract 631.03, Orange County, California",102813,33142
1400000US06059063201,06059063201,"Census Tract 632.01, Orange County, California",64266,11503
1400000US06059063202,06059063202,"Census Tract 632.02, Orange County, California",92639,19567
1400000US06059063301,06059063301,"Census Tract 633.01, Orange County, California",89625,13068
1400000US06059063302,06059063302,"Census Tract 633.02, Orange County, California",105152,9729
1400000US06059063400,06059063400,"Census Tract 634, Orange County, California",130664,23451
1400000US06059063500,06059063500,"Census Tract 635, Orange County, California",116250,21596
1400000US06059063601,06059063601,"Census Tract 636.01, Orange County, California",96518,14407
1400000US06059063603,06059063603,"Census Tract 636.03, Orange County, California",88224,14544
1400000US06059063604,06059063604,"Census Tract 636.04, Orange County, California",61279,4994
1400000US06059063605,06059063605,"Census Tract 636.05, Orange County, California",41809,7090
1400000US06059063701,06059063701,"Census Tract 637.01, Orange County, California",40841,8730
1400000US06059063702,06059063702,"Census Tract 637.02, Orange County, California",56288,7537
1400000US06059063802,06059063802,"Census Tract 638.02, Orange County, California",78350,23492
1400000US06059063803,06059063803,"Census Tract 638.03, Orange County, California",84286,13225
1400000US06059063805,06059063805,"Census Tract 638.05, Orange County, California",96023,19356
1400000US06059063806,06059063806,"Census Tract 638.06, Orange County, California",104516,13378
1400000US06059063807,06059063807,"Census Tract 638.07, Orange County, California",62452,21959
1400000US06059063808,06059063808,"Census Tract 638.08, Orange County, California",52656,9781
1400000US06059063902,06059063902,"Census Tract 639.02, Orange County, California",69811,10159
1400000US06059063903,06059063903,"Census Tract 639.03, Orange County, California",96250,16813
1400000US06059063904,06059063904,"Census Tract 639.04, Orange County, California",79091,9641
1400000US06059063905,06059063905,"Census Tract 639.05, Orange County, California",90372,15314
1400000US06059063906,06059063906,"Census Tract 639.06, Orange County, California",62177,6709
1400000US06059063907,06059063907,"Census Tract 639.07, Orange County, California",101932,12306
1400000US06059063908,06059063908,"Census Tract 639.08, Orange County, California",87500,8999
1400000US06059074003,06059074003,"Census Tract 740.03, Orange County, California",86202,9633
1400000US06059074004,06059074004,"Census Tract 740.04, Orange County, California",59867,20640
1400000US06059074005,06059074005,"Census Tract 740.05, Orange County, California",74524,13731
1400000US06059074006,06059074006,"Census Tract 740.06, Orange County, California",55071,8177
1400000US06059074102,06059074102,"Census Tract 741.02, Orange County, California",86297,8022
1400000US06059074103,06059074103,"Census Tract 741.03, Orange County, California",73200,13666
1400000US06059074106,06059074106,"Census Tract 741.06, Orange County, California",66964,8080
1400000US06059074107,06059074107,"Census Tract 741.07, Orange County, California",65326,8501
1400000US06059074108,06059074108,"Census Tract 741.08, Orange County, California",74770,8200
